Date,Labor,Exch_rate,Unemploy,CPI,M2,New_house,Wage,GDP
10-Jan,16470.66,1.07,8.94,98.83,5.8,87.1,68338521,1682490
10-Feb,16531.36,1.05,8.75,99.26,5.7,87.1,68511142,1687765
10-Mar,16554.61,1.02,8.96,99.26,5.2,87.4,68705619,1696181
10-Apr,16731.84,1.02,8.58,99.6,4.8,87.6,69125583,1694814
10-May,17089.67,1.04,8.4,99.86,5,87.9,69211456,1704470
10-Jun,17386.54,1.06,7.5,99.77,5,88,69537518,1708603
10-Jul,17322.89,1.03,8.44,100.29,4.8,87.9,69892172,1709916
10-Aug,17297.77,1.07,8.93,100.2,4.5,88,70010926,1715621
10-Sep,17122.47,1.03,7.56,100.37,4.6,88.1,70593776,1716075
10-Oct,17105.82,1.02,7.39,100.8,4.6,88.2,70885632,1723677
10-Nov,17090.03,1.03,7.39,100.89,4.4,88.4,71184622,1729400
10-Dec,17035.24,0.99,7.33,100.89,4.6,88.4,71685950,1741742
11-Jan,16824.42,1,8.33,101.14,4.9,88.6,72156974,1746679
11-Feb,16885.29,0.97,8.19,101.4,4.8,89,72618930,1746107
11-Mar,16873.07,0.97,8.43,102.52,5.1,89,73089951,1751733
11-Apr,17027.91,0.95,8.17,102.86,5.2,89.2,73082693,1753896
11-May,17395.08,0.97,7.72,103.55,5,89.6,72922908,1749501
11-Jun,17611.82,0.96,7.19,102.86,5.1,89.8,73422245,1755337
11-Jul,17580.88,0.96,7.73,103.03,5.1,89.9,73535543,1767746
11-Aug,17550.88,0.98,8.04,103.29,5.3,90,73845587,1777319
11-Sep,17360.2,1.05,6.86,103.55,5.8,90.1,74184162,1779848
11-Oct,17336.3,1,6.89,103.72,6.1,90.3,74461604,1780091
11-Nov,17274.1,1.02,7.12,103.81,6.3,90.6,74641717,1781494
11-Dec,17211.56,1.02,7,103.21,6.3,90.7,75083576,1789914
12-Jan,16938.26,1,8.16,103.63,6.4,90.8,75076591,1789067
12-Feb,17000.08,0.99,7.9,104.06,6.2,91,75439268,1784418
12-Mar,17083.21,1,7.84,104.49,6,91.3,76133245,1788869
12-Apr,17299.72,0.99,7.67,104.92,6.2,91.5,76247991,1795010
12-May,17630.95,1.03,7.62,104.84,6.5,91.7,76387401,1797855
12-Jun,17791.11,1.02,6.95,104.41,6.7,91.9,77057199,1798771
12-Jul,17764.66,1,7.47,104.32,6.9,92,77170237,1802311
12-Aug,17782.35,0.99,7.95,104.58,7,92.1,77632002,1799977
12-Sep,17622.84,0.98,6.81,104.75,6.2,92.3,77772412,1799807
12-Oct,17624.97,1,6.84,104.92,6.3,92.5,77842418,1799029
12-Nov,17598.4,0.99,6.84,104.67,6.4,92.6,78251539,1807645
12-Dec,17570.98,0.99,6.7,104.06,6.4,92.7,78401574,1807499
13-Jan,17317.9,1,7.56,104.15,6.4,92.8,78734311,1816324
13-Feb,17418.94,1.03,7.37,105.35,7,93,78938272,1824477
13-Mar,17356.1,1.02,7.76,105.52,7.4,93,79740148,1831811
13-Apr,17494.92,1.01,7.47,105.35,7.3,93.2,79361807,1833854
13-May,17910.92,1.04,7.14,105.61,6.9,93.4,79924121,1838706
13-Jun,18053.44,1.05,6.74,105.61,6.6,93.5,79489702,1831499
13-Jul,17979,1.03,7.48,105.7,6.5,93.6,79958618,1841475
13-Aug,17984.74,1.05,7.79,105.7,6.5,93.7,80497370,1850221
13-Sep,17831.22,1.03,6.4,105.87,6.6,93.8,80547122,1856333
13-Oct,17819.26,1.04,6.51,105.61,6.4,93.8,80929264,1866772
13-Nov,17752.74,1.06,6.6,105.61,6.5,93.9,81517028,1869643
13-Dec,17626.8,1.06,6.92,105.35,6.7,93.9,81541213,1860675
14-Jan,17377.59,1.11,7.69,105.7,6.8,94.1,81902669,1865998
14-Feb,17427.39,1.11,7.59,106.55,6.4,94.4,81867042,1877078
14-Mar,17465.58,1.11,7.58,107.16,6.2,94.5,82110439,1879300
14-Apr,17538.51,1.1,7.41,107.5,6.2,94.7,82470441,1885802
14-May,17902.58,1.08,7.4,108.01,6.6,94.8,82921243,1892675
14-Jun,18129.83,1.07,6.75,108.1,6.6,94.9,83039689,1898016
14-Jul,18085.86,1.09,7.28,107.93,6.7,94.9,83874440,1899137
14-Aug,18027.99,1.09,7.55,107.93,6.8,95.2,83859290,1896171
14-Sep,17898.21,1.12,6.37,108.01,7.1,95.3,83892563,1907961
14-Oct,17917.84,1.13,6.17,108.1,7.2,95.4,84388993,1915844
14-Nov,17842.49,1.14,6.27,107.67,6.9,95.5,84076830,1914485
14-Dec,17784.37,1.16,6.22,106.9,7,95.5,84059068,1918112
15-Jan,17511.48,1.27,7.2,106.73,7,95.5,84826158,1911198
15-Feb,17579.09,1.25,7.28,107.67,7.3,95.6,85227165,1909731
15-Mar,17605.74,1.27,7.43,108.44,7.3,95.7,85320466,1907789
15-Apr,17676.39,1.21,7.22,108.36,7.4,95.7,85854836,1906000
15-May,18062.76,1.24,7.02,108.96,7.2,95.9,85440132,1902034
15-Jun,18246.64,1.25,6.47,109.22,7.3,96.1,85548067,1909081
15-Jul,18173.09,1.31,7.15,109.3,7.7,96.2,86262946,1916437
15-Aug,18183.69,1.32,7.55,109.3,7.7,96.5,85223851,1920516
15-Sep,18021.92,1.33,6.43,109.13,7.6,96.6,85657827,1911826
15-Oct,18040.82,1.31,6.32,109.22,7.4,96.8,86122673,1912897
